"","mm_yy","Region","Channel","tot_trans","Avg_tran","avg_t"
"1","2011/01","A","Online",44872,38693663.7338784,862.311992643038
"2","2011/02","A","Online",33737,28695677.908752,850.569935345526
"3","2011/03","A","Online",39507,22489276.3572048,569.247889164068
"4","2011/04","A","Online",31749,23277787.5343212,733.18175483704
"5","2011/05","A","Online",30798,19397471.658328,629.828938837846
"6","2011/06","A","Online",26195,23401394.147776,893.353470042984
"7","2011/07","A","Online",30493,24298158.5372698,796.843817835892
"8","2011/08","A","Online",27258,25222421.0553221,925.321779122538
"9","2011/09","A","Online",23876,22594691.0446357,946.334856954085
"10","2011/10","A","Online",20920,21037628.1775485,1005.6227618331
"11","2011/11","A","Online",22807,31685703.7863396,1389.29731162974
"12","2011/12","A","Online",24043,23357679.9880473,971.496069044934
"13","2012/01","A","Online",35391,32781781.4596715,926.274517805982
"14","2012/02","A","Online",29264,18854903.4024681,644.303697459955
"15","2012/03","A","Online",40564,20518359.1354489,505.826820221106
"16","2012/04","A","Online",27890,16769363.6707881,601.267969551384
"17","2012/05","A","Online",29098,25129828.5821146,863.627348344031
"18","2012/06","A","Online",29735,26706389.8513949,898.146623554562
"19","2012/07","A","Online",24593,21753182.2874041,884.527397527917
"20","2012/08","A","Online",16839,14485406.4888233,860.229615109167
"21","2012/09","A","Online",23653,21092120.8744338,891.731318413469
"22","2012/10","A","Online",23953,25154534.677039,1050.16217914411
"23","2012/11","A","Online",19281,23877427.3716818,1238.39154461292
"24","2012/12","A","Online",17831,22543746.9161374,1264.30076362164
"25","2011/01","B","Online",766,50493.28688557,65.9181290934334
"26","2011/02","B","Online",576,63943.5536883,111.013114042188
"27","2011/03","B","Online",559,275766.4765288,493.321067135599
"28","2011/04","B","Online",622,101549.13669583,163.262277646029
"29","2011/05","B","Online",578,53537.4240222,92.6253010764706
"30","2011/06","B","Online",506,77607.60872073,153.374720791957
"31","2011/07","B","Online",650,97833.4080616,150.512935479385
"32","2011/08","B","Online",648,75951.37370477,117.208910038225
"33","2011/09","B","Online",523,95859.38871227,183.287550119063
"34","2011/10","B","Online",466,54181.30004617,116.268884219249
"35","2011/11","B","Online",481,56708.51888443,117.897128657859
"36","2011/12","B","Online",518,123723.6503113,238.84874577471
"37","2012/01","B","Online",574,302552.2787644,527.094562307317
"38","2012/02","B","Online",585,73354.69317776,125.392637910701
"39","2012/03","B","Online",536,142715.792157,266.26080626306
"40","2012/04","B","Online",410,68323.8293344,166.643486181463
"41","2012/05","B","Online",516,84199.6714112,163.177657773643
"42","2012/06","B","Online",571,146057.9325457,255.793226875131
"43","2012/07","B","Online",542,73345.57173133,135.323933083635
"44","2012/08","B","Online",416,70385.10503091,169.194964016611
"45","2012/09","B","Online",501,101456.03814023,202.507062156148
"46","2012/10","B","Online",456,153224.33498694,336.018278480132
"47","2012/11","B","Online",408,57217.746297,140.239574257353
"48","2012/12","B","Online",402,109038.0139643,271.238840707214
"49","2011/01","C","Online",9919,6459543.4241499,651.229299742908
"50","2011/02","C","Online",9178,6474601.5266218,705.447976315297
"51","2011/03","C","Online",8367,5307114.46464437,634.291199312103
"52","2011/04","C","Online",6876,4494514.34501783,653.652464371412
"53","2011/05","C","Online",8174,6488001.7441601,793.736450227563
"54","2011/06","C","Online",7672,5844483.02633463,761.79392939711
"55","2011/07","C","Online",7234,6019996.72943919,832.180913663145
"56","2011/08","C","Online",6823,7491649.96491607,1097.99940860561
"57","2011/09","C","Online",5963,5968522.70889367,1000.92616281967
"58","2011/10","C","Online",5712,5431417.57482673,950.878426965464
"59","2011/11","C","Online",6099,6146671.36651167,1007.81625947068
"60","2011/12","C","Online",6329,7144353.0375695,1128.82809884176
"61","2012/01","C","Online",9177,5742064.95350721,625.701749319735
"62","2012/02","C","Online",7529,5562995.60894593,738.875761581343
"63","2012/03","C","Online",8606,6128180.91173283,712.08237412652
"64","2012/04","C","Online",7555,6499035.26190757,860.229683905701
"65","2012/05","C","Online",7522,6628162.19531067,881.170193473899
"66","2012/06","C","Online",7327,6694031.8175328,913.611548728374
"67","2012/07","C","Online",6345,5405978.81235223,852.006116997987
"68","2012/08","C","Online",5439,5010080.73076603,921.140049782318
"69","2012/09","C","Online",6314,6085249.0688965,963.770837645946
"70","2012/10","C","Online",6032,7207964.45386936,1194.95431927542
"71","2012/11","C","Online",5198,7844457.6997623,1509.129992259
"72","2012/12","C","Online",5107,7554628.53065486,1479.26934220773
"73","2011/01","D","Online",73200,49175041.0571407,671.79017837624
"74","2011/02","D","Online",54909,45894483.1431485,835.828063580625
"75","2011/03","D","Online",64707,40352995.9782806,623.62643884403
"76","2011/04","D","Online",47454,44969698.0870818,947.648208519446
"77","2011/05","D","Online",50762,50049548.8910405,985.964873153944
"78","2011/06","D","Online",43369,51424090.6832085,1185.73383484075
"79","2011/07","D","Online",45645,58110413.0654958,1273.0948201445
"80","2011/08","D","Online",41136,52870060.101556,1285.2503914225
"81","2011/09","D","Online",34753,53616950.7687324,1542.80064364896
"82","2011/10","D","Online",30983,42515100.5074133,1372.20735588591
"83","2011/11","D","Online",33518,45926696.5945963,1370.2099347991
"84","2011/12","D","Online",35626,51396833.9573266,1442.67764995584
"85","2012/01","D","Online",56887,34293387.5335061,602.833468692427
"86","2012/02","D","Online",44713,37926562.3451631,848.222269701498
"87","2012/03","D","Online",66259,45335152.3943395,684.211237633219
"88","2012/04","D","Online",45893,38480705.78753,838.487477121347
"89","2012/05","D","Online",44476,43739499.2490018,983.440490354389
"90","2012/06","D","Online",42576,58107136.9233519,1364.7861922997
"91","2012/07","D","Online",35701,49834165.7614538,1395.87590715817
